ID	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
ASV_106	6	15	29	11	23	14	77	35	74	36	31	41	82	23	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4
ASV_114	14	20	11	12	20	10	7	12	5	32	30	24	20	22	30	0	0	4	4	0	1	0	0	0	20	12	13	0	0	0	0	0	0	4	0	0	2	0	5	0	0	0	21	20	28	13	11	10	0	0	0	0	0	3	0	0	0	0	0	0	2	4	2
ASV_166	6	9	13	11	4	12	19	9	15	15	31	23	4	11	13	0	4	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	4	4	3	7	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2
ASV_291	5	2	6	6	5	4	13	18	14	0	0	6	15	11	11	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	1	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_156	17	0	12	15	30	28	46	49	37	0	0	0	19	21	13	0	0	5	18	14	14	0	0	0	13	13	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV_36	34	49	41	39	34	47	57	55	51	61	90	67	20	33	39	12	27	24	33	51	32	40	28	34	19	15	21	0	0	13	36	22	16	18	21	11	19	11	12	14	17	30	49	385	217	26	26	30	15	0	32	25	17	30	0	10	13	7	12	5	43	33	35
ASV_218	13	22	16	4	16	8	17	9	10	8	0	10	11	4	6	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0
ASV_102	5	16	11	5	19	20	14	27	28	23	16	21	22	16	16	15	9	8	16	11	13	18	6	7	25	4	5	5	11	7	12	11	7	10	7	5	9	0	4	16	12	13	8	5	7	5	5	5	4	13	12	11	9	27	6	0	5	1	0	3	3	0	2
ASV_113	18	45	41	60	57	30	26	32	28	12	19	20	15	13	21	0	0	0	3	1	4	0	0	0	7	9	0	0	0	0	0	0	6	0	9	0	0	0	0	7	5	4	0	0	0	0	0	2	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV_66	30	51	33	37	35	64	49	30	40	24	32	27	19	17	15	9	15	16	11	10	8	11	9	9	28	16	18	0	6	0	20	27	14	13	17	16	22	8	30	7	7	5	19	7	7	16	12	13	14	19	14	6	5	13	8	0	7	8	2	5	4	8	4
ASV_118	39	44	35	35	28	26	21	63	41	13	21	13	18	14	12	0	10	0	0	0	0	0	0	0	9	7	7	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	2	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ASV_53	76	99	106	71	83	106	94	145	120	37	32	43	102	84	65	0	11	0	2	0	8	0	2	0	16	25	14	0	0	2	3	8	1	0	0	0	1	3	0	0	3	0	7	13	7	7	10	8	4	3	0	6	3	10	3	2	5	0	6	0	6	3	1
ASV_81	37	17	19	34	24	15	78	41	53	53	78	61	12	1	9	16	0	20	42	61	28	21	15	14	2	0	6	0	8	7	10	5	10	13	15	11	0	0	0	0	0	0	4	0	0	1	3	2	0	0	0	0	10	0	8	7	22	3	2	2	1	0	0
ASV_67	39	49	34	25	50	40	60	109	60	40	22	39	79	68	42	5	5	9	11	14	17	10	7	5	15	6	7	7	5	0	9	4	4	10	5	1	2	0	9	7	7	4	9	2	1	2	3	0	14	7	12	11	6	8	5	2	7	2	2	0	0	0	3
ASV_121	44	30	49	13	15	16	23	30	19	14	43	21	7	9	10	7	2	6	8	10	6	0	0	0	1	0	1	0	0	0	0	0	2	3	12	7	0	0	0	0	0	0	2	4	5	0	0	1	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0
ASV_107	30	47	23	26	22	25	21	16	18	27	30	25	23	26	30	0	6	0	0	0	0	8	0	0	10	7	2	0	0	0	0	10	0	0	0	0	0	0	5	0	0	0	13	5	7	3	4	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2
ASV_206	5	8	5	0	8	9	3	6	9	8	17	12	9	14	13	0	0	0	12	16	6	0	0	0	1	0	3	0	0	0	0	0	0	8	6	4	3	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	2
